RunID,1,2,3
550,13,7,6
551,17,5,4
553,7,6,3
554,2,2,12
555,4,2,5
556,14,1,0
557,7,4,1
558,3,0,1
559,0,0,0
560,0,0,0
562,5,7,0
563,3,1,3
564,0,0,0
565,3,5,7
566,1,5,1
567,3,6,10
568,6,6,9
569,4,2,1
570,7,4,7
571,3,0,8
572,7,5,3
573,3,7,8
574,1,0,7
575,2,6,10
576,10,6,9
577,6,9,5
578,3,9,5
579,4,4,0
580,7,3,11
581,4,2,5
582,3,2,0
584,3,0,3
585,2,0,5
586,1,4,3
587,1,2,13
588,6,2,9
589,8,3,0
590,3,4,11
591,6,2,12
592,0,4,8
593,7,4,0
594,3,3,11
595,7,5,7
596,5,3,1
597,1,2,15
598,3,6,14
599,12,5,0
600,7,9,13
601,7,2,14
602,8,6,1
603,4,9,1
604,0,5,4
605,3,3,0
606,8,7,1
607,5,6,8
608,3,3,10
609,3,5,8
610,7,2,15
611,11,3,0
612,5,3,11
613,6,11,5
614,12,1,0
615,2,2,10
616,10,9,4
617,8,2,0
618,9,7,3
619,13,5,4
620,16,2,3
621,1,3,14
622,4,1,9
623,7,5,3
624,1,2,15
625,12,1,12
626,15,3,0
627,7,5,7
628,8,0,7
629,4,3,1
630,9,3,10
631,14,3,7
632,13,6,10
633,2,8,2
634,3,4,5
635,1,4,12
636,6,2,8
637,10,9,3
638,4,5,2
639,7,7,3
640,12,4,1
641,0,3,7
642,1,4,9
644,3,8,0
645,2,2,6
646,2,4,5
647,3,3,1
648,5,4,2
649,3,6,0
650,4,2,0
652,12,5,0
653,4,3,8
654,10,7,3
655,5,0,5
656,14,9,1
657,4,19,3
658,11,5,5
659,4,0,2
660,2,2,2
661,0,1,3
662,6,10,0
664,4,3,5
665,5,3,1
666,5,8,1
667,0,4,0
668,7,6,8
669,2,5,17
670,4,1,16
671,1,1,2
672,0,0,0
673,3,1,9
674,4,4,7
675,5,5,7
676,8,1,2
677,5,4,3
678,4,3,9
679,10,1,0
680,2,3,5
681,1,1,5
682,4,4,7
683,0,2,10
684,4,1,13
685,6,7,8
686,0,1,5
687,3,2,1
688,8,1,3
689,7,1,0
690,9,7,8
691,24,3,0
692,26,4,0
693,4,4,4
694,2,3,5
695,9,5,1
696,6,0,0
697,4,1,6
698,4,1,5
699,3,2,9
700,4,1,5
701,0,4,11
702,6,5,7
703,6,4,0
705,3,5,5
706,6,2,7
707,6,0,0
708,3,2,3
709,6,6,3
710,7,11,1
711,7,6,0
712,5,3,3
713,1,11,1
714,1,0,0
715,1,0,0
716,8,2,7
717,5,1,14
718,6,3,8
719,3,2,6
720,2,1,4
721,3,1,8
722,10,2,2
723,1,0,0
724,1,2,4
725,8,1,1
726,5,2,14
727,6,2,3
728,2,6,9
729,0,10,10
730,1,0,0
731,1,5,5
733,1,1,6
734,3,1,0
735,7,11,3
736,6,3,0
737,7,16,0
738,7,8,2
739,3,0,9
740,11,4,1
741,0,1,10
742,1,9,8
743,3,3,8
744,1,2,10
745,3,7,1
746,1,4,4
747,5,1,9
748,3,5,6
749,10,5,2
750,3,6,3
751,1,2,9
752,1,0,7
753,2,1,9
754,3,7,9
755,7,3,9
756,1,1,0
757,6,1,0
758,2,0,0
759,20,4,3
760,3,2,9
761,5,3,7
763,6,7,0
764,7,2,6
765,5,17,3
766,2,1,8
767,2,0,0
768,3,0,0
769,2,0,0
770,2,3,1
771,5,3,0
772,6,1,0
775,1,0,0
776,9,2,10
777,18,4,14
